"","accession_all","Freq"
"557","NR_028851.1",0
"558","NR_117628.1",0
"559","NR_115871.1",0
"560","NR_042387.1",0
"561","NR_113343.1",0
"562","NR_114921.1",0
"563","NR_114922.1",0
"564","NR_114958.1",0
"565","NR_117619.1",0
"566","NR_119357.1",0
"567","NR_119113.1",0
"568","NR_174302.1",0
"569","NR_165666.1",0
"570","NR_148843.1",0
"571","NR_156989.1",0
"572","NR_148844.1",0
"573","NR_148643.1",0
"574","NR_133953.1",0
"575","NR_181169.1",0
"576","NR_028852.1",0
"577","NR_117627.1",0
"578","NR_179028.1",0
"579","NR_117626.1",0
"580","NR_042026.1",0
"581","NR_026207.1",0
"582","NR_117622.1",0
"583","NR_119359.1",0
"584","NR_149800.1",0
"585","NR_178590.1",0
"586","NR_179446.1",0
"587","NR_133954.1",0
"588","NR_117784.1",0
"589","NR_044975.1",0
"590","NR_117624.1",0
"591","NR_119114.1",0
"592","NR_164627.1",0
"593","NR_026208.1",0
"594","NR_117623.1",0
"595","NR_119360.1",0
"596","NR_181459.1",0
"597","NR_135727.1",0
"598","NR_116714.1",0
"599","NR_152004.1",0
"600","NR_152082.1",0
"601","NR_180591.1",0
"602","NR_156845.1",0
"603","NR_026209.1",0
"604","NR_113346.1",0
"605","NR_115298.1",0
"606","NR_148845.1",0
"607","NR_145841.1",0
"608","NR_118408.1",0
"609","NR_117931.1",0
"610","NR_102814.1",0
"611","NR_116039.1",0
"612","NR_178416.1",0
"613","NR_180005.1",0
"614","NR_181031.1",0
"615","NR_025425.1",0
"616","NR_159919.1",0
"617","NR_117930.1",0
"618","NR_116774.1",0
"619","NR_117621.1",0
"620","NR_178762.1",0
"621","NR_145864.1",0
"622","NR_179027.1",0
"623","NR_152069.1",0
"624","NR_148846.1",0
"625","NR_181286.1",0
"626","NR_169498.1",0
"627","NR_109507.1",0
"628","NR_133685.1",0
"629","NR_026210.1",0
"630","NR_114074.1",0
"631","NR_180953.1",0
"632","NR_178633.1",0
"633","NR_180534.1",0
"634","NR_115988.1",0
"635","NR_025412.1",0
"636","NR_134684.1",0
"637","NR_115299.1",0
"638","NR_116069.1",0
"639","NR_116070.1",0
"640","NR_116071.1",0
"641","NR_180592.1",0
"642","NR_181115.1",0
"643","NR_171416.1",0
"644","NR_181930.1",0
"645","NR_044454.1",0
"646","NR_181117.1",0
"647","NR_028853.1",0
"648","NR_117508.1",0
"649","NR_117630.1",0
"650","NR_180533.1",0
"651","NR_028850.1",0
"652","NR_117193.1",0
"653","NR_117629.1",0
"654","NR_028849.1",0
"655","NR_025392.1",0
"656","NR_134685.1",0
"657","NR_042049.1",0
"658","NR_148847.1",0
"659","NR_180336.1",0
"660","NR_179145.1",0
"661","NR_201673.1",0
"662","NR_041245.1",0
"663","NR_118822.1",0
"664","NR_119194.1",0
"665","NR_028612.1",0
"666","NR_108123.1",0
"667","NR_036814.1",0
"668","NR_178565.1",0
"669","NR_044349.1",0
"670","NR_136418.1",0
"671","NR_134715.1",0
"672","NR_108866.1",0
"673","NR_145652.1",0
"674","NR_159242.1",0
"675","NR_151908.1",0
"676","NR_118029.1",0
"677","NR_181519.1",0
"678","NR_043866.1",0
"679","NR_146707.1",0
"680","NR_108501.1",0
"681","NR_179244.1",0
"682","NR_041428.1",0
"683","NR_115197.1",0
"684","NR_043246.1",0
"685","NR_175503.1",0
"686","NR_043247.1",0
"687","NR_043245.1",0
"688","NR_043244.1",0
"689","NR_024953.1",0
"690","NR_112596.1",0
"691","NR_116319.1",0
"692","NR_118340.1",0
"693","NR_041647.1",0
"694","NR_145530.1",0
"695","NR_041652.1",0
"696","NR_041645.1",0
"697","NR_041646.1",0
"698","NR_041650.1",0
"699","NR_113558.1",0
"700","NR_041649.1",0
"701","NR_116314.1",0
"702","NR_041651.1",0
"703","NR_113221.1",0
"704","NR_025022.1",0
"705","NR_112730.1",0
"706","NR_113559.1",0
"707","NR_041648.1",0
"708","NR_024650.1",0
"709","NR_044137.1",0
"710","NR_135901.1",0
"711","NR_043574.1",0
"712","NR_117418.1",0
"713","NR_042898.1",0
"714","NR_115157.1",0
"715","NR_044613.1",0
"716","NR_114558.1",0
"717","NR_115218.1",0
"718","NR_042864.1",0
"719","NR_118755.1",0
"720","NR_118759.1",0
"721","NR_042865.1",0
"722","NR_118760.1",0
"723","NR_041837.1",0
"724","NR_036871.1",0
"725","NR_114628.1",0
"726","NR_042866.1",0
"727","NR_118655.1",0
"728","NR_042867.1",0
"729","NR_118848.1",0
"730","NR_042868.1",0
"731","NR_118758.1",0
"732","NR_042869.1",0
"733","NR_118847.1",0
"734","NR_044752.2",0
"735","NR_115546.2",0
"736","NR_026030.1",0
"737","NR_115212.1",0
"738","NR_027207.1",0
"739","NR_042872.1",0
"740","NR_118745.1",0
"741","NR_024860.1",0
"742","NR_074818.1",0
"743","NR_115213.1",0
"744","NR_042873.1",0
"745","NR_114423.1",0
"746","NR_118761.1",0
"747","NR_042874.1",0
"748","NR_044760.2",0
"749","NR_179368.1",0
"750","NR_115096.1",0
"751","NR_041469.1",0
"752","NR_040967.1",0
"753","NR_042027.1",0
"754","NR_114514.1",0
"755","NR_115569.1",0
"756","NR_040782.1",0
"757","NR_043311.1",0
"758","NR_042030.1",0
"759","NR_112732.1",0
"760","NR_114515.1",0
"761","NR_115566.1",0
"762","NR_115631.1",0
"763","NR_149266.1",0
"764","NR_026005.1",0
"765","NR_112733.1",0
"766","NR_042033.1",0
"767","NR_112731.1",0
"768","NR_114532.1",0
"769","NR_179681.1",0
"770","NR_156134.1",0
"771","NR_152656.1",0
"772","NR_157702.1",0
"773","NR_116323.1",0
"774","NR_040873.1",0
"775","NR_112800.1",0
"776","NR_118427.1",0
"777","NR_112847.1",0
"778","NR_112801.1",0
"779","NR_024962.2",0
"780","NR_040872.1",0
"781","NR_117239.1",0
"782","NR_118890.1",0
"783","NR_024963.1",0
"784","NR_145900.1",0
"785","NR_041732.1",0
"786","NR_133693.1",0
"787","NR_174316.1",0
"788","NR_041734.1",0
"789","NR_119075.1",0
"790","NR_118235.1",0
"791","NR_118260.1",0
"792","NR_134686.1",0
"793","NR_134687.1",0
"794","NR_024774.1",0
"795","NR_180872.1",0
"796","NR_144570.1",0
"797","NR_044027.1",0
"798","NR_149171.1",0
"799","NR_149801.1",0
"800","NR_113156.1",0
"801","NR_026003.1",0
"802","NR_114850.1",0
"803","NR_041618.1",0
"804","NR_178624.1",0
"805","NR_041477.1",0
"806","NR_041619.1",0
"807","NR_042116.1",0
"808","NR_118828.1",0
"809","NR_026004.1",0
"810","NR_171418.1",0
"811","NR_036898.1",0
"812","NR_112823.1",0
"813","NR_178379.1",0
"814","NR_179328.1",0
"815","NR_179782.1",0
"816","NR_042028.1",0
"817","NR_114529.1",0
"818","NR_116546.1",0
"819","NR_042029.1",0
"820","NR_112016.1",0
"821","NR_114410.1",0
"822","NR_114851.1",0
"823","NR_042115.1",0
"824","NR_118830.1",0
"825","NR_146660.1",0
"826","NR_109059.1",0
"827","NR_043529.1",0
"828","NR_165767.1",0
"829","NR_170497.1",0
"830","NR_042031.1",0
"831","NR_114530.1",0
"832","NR_114849.1",0
"833","NR_146004.1",0
"834","NR_044544.1",0
"835","NR_026344.1",0
"836","NR_025515.1",0
"837","NR_118831.1",0
"838","NR_029043.1",0
"839","NR_174255.1",0
"840","NR_180952.1",0
"841","NR_028753.1",0
"842","NR_042032.1",0
"843","NR_114531.1",0
"844","NR_174237.1",0
"845","NR_026006.1",0
"846","NR_041164.1",0
"847","NR_112012.1",0
"848","NR_114525.2",0
"849","NR_026007.1",0
"850","NR_112735.1",0
"851","NR_174252.1",0
"852","NR_026343.1",0
"853","NR_115568.1",0
"854","NR_115626.1",0
"855","NR_118839.1",0
"856","NR_112703.1",0
"857","NR_117023.1",0
"858","NR_025110.1",0
"859","NR_029090.1",0
"860","NR_044094.1",0
"861","NR_151939.1",0
"862","NR_199404.1",0
"863","NR_042985.1",0
"864","NR_025652.1",0
"865","NR_112736.1",0
"866","NR_025021.1",0
"867","NR_181811.1",0
"868","NR_114533.1",0
"869","NR_114755.1",0
"870","NR_174263.1",0
"871","NR_134688.1",0
"872","NR_179256.1",0
"873","NR_029187.1",0
"874","NR_113155.1",0
"875","NR_179670.1",0
"876","NR_179828.1",0
"877","NR_044543.1",0
"878","NR_174214.1",0
"879","NR_043687.1",0
"880","NR_026008.1",0
"881","NR_116908.1",0
"882","NR_116909.1",0
"883","NR_118114.2",0
"884","NR_179038.1",0
