silva_id,Freq,organism_short
HQ681861.1.1452;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,11,uncultured bacterium
EF098006.1.1413;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,11,uncultured bacterium
EF406550.1.1502;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406826.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406425.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406443.1.1497;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406490.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406546.1.1502;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406843.1.1504;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406434.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF406717.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF604743.1.1491;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF604562.1.1497;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU510262.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU510514.1.1273;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU451789.1.1277;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU451889.1.1411;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU510146.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU454862.1.1410;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
JN013120.1.1453;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,10,uncultured bacterium
EU510145.1.1405;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU510197.1.1408;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU460696.1.1226;Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;uncultured;bacterium,10,uncultured bacterium
EU457460.1.1413;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EU456604.1.1380;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,10,uncultured bacterium
EF099837.1.1403;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
EF099863.1.1404;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,10,uncultured bacterium
HW066491.1.1540;Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;uncultured;unidentified,9,uncultured unidentified
AB626928.1.1507;Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae;NK4A136;group;uncultured;bacterium,9,uncultured bacterium
EF406486.1.1499;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,9,uncultured bacterium
EF406572.1.1503;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,9,uncultured bacterium
EF406398.1.1497;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,9,uncultured bacterium
EF406776.1.1504;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,9,uncultured bacterium
EF406803.1.1509;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured;bacterium,9,uncultured bacterium
