"","rad_dada2_accession_all","Freq"
"811","KI367_RS20385",0
"812","KI367_RS21285",0
"813","KI367_RS22010",0
"814","KI367_RS23310",0
"815","KI367_RS24460",0
"816","KI367_RS26655",0
"817","KI367_RS26705",0
"818","KI367_RS26725",0
"819","KI367_RS26780",0
"820","KI367_RS26820",0
"821","KI367_RS26885",0
"822","KI367_RS26900",0
"823","KI367_RS26940",0
"824","KI367_RS27025",0
"825","CKJ54_RS06710",0
"826","E1218_RS22220",0
"827","ACKC83_RS00125",0
"828","ACKC83_RS02055",0
"829","ACKC83_RS04245",0
"830","ACKC83_RS09215",0
"831","DYC50_RS10555",0
"832","DYC50_RS00195",0
"833","DYC50_RS02035",0
"834","DYC50_RS03005",0
"835","DYC50_RS04950",0
"836","DYC50_RS09205",0
"837","DYC50_RS10180",0
"838","BH719_RS02310",0
"839","ORV05_RS08245",0
"840","ORV05_RS09750",0
"841","ORV05_RS28040",0
"842","ORV05_RS29305",0
"843","CYAN7822_RS07280",0
"844","CYAN7822_RS16995",0
"845","CYAN7822_RS20645",0
"846","CR254_RS17735",0
"847","DES36_RS00005",0
"848","DES36_RS04620",0
"849","DES36_RS07790",0
"850","DES36_RS12780",0
"851","DES36_RS14530",0
"852","DES36_RS14625",0
"853","DES36_RS14645",0
"854","F8O02_RS08935",0
"855","HMPREF0908_RS09300",0
"856","AACQ14_RS07915",0
"857","AACQ14_RS12020",0
"858","AACQ14_RS20355",0
"859","AACQ14_RS21185",0
"860","AACQ14_RS21895",0
"861","AACQ14_RS23640",0
"862","BQ7489_RS01825",0
"863","BQ7489_RS12565",0
"864","BQ7489_RS14105",0
"865","D1819_RS01105",0
"866","D1819_RS08090",0
"867","D1819_RS12230",0
"868","D1819_RS12915",0
"869","D1819_RS13265",0
"870","D1819_RS13810",0
"871","D1819_RS14930",0
"872","D1819_RS15080",0
"873","D1819_RS15355",0
"874","D1819_RS16125",0
"875","HNQ99_RS04600",0
"876","L1087_RS13105",0
"877","FG383_RS21065",0
"878","FG383_RS14060",0
"879","FG383_RS17890",0
"880","FG383_RS18725",0
"881","FG383_RS05385",0
"882","FG383_RS20745",0
"883","FK004_RS05375",0
"884","FK004_RS08025",0
"885","FK004_RS09225",0
"886","FK004_RS10025",0
"887","FK004_RS18225",0
"888","FK004_RS18270",0
"889","KME77_RS08790",0
"890","KME77_RS08995",0
"891","EJ913_RS31155",0
"892","CF_RS00660",0
"893","S3O_RS0105840",0
"894","O2S85_RS00430",0
"895","O2S85_RS00490",0
"896","O2S85_RS00885",0
"897","O2S85_RS03215",0
"898","O2S85_RS06900",0
"899","O2S85_RS14735",0
"900","HMPREF9719_RS09265",0
"901","KAJ71_RS16870",0
"902","KAJ71_RS23170",0
"903","H4W31_RS00015",0
"904","H4W31_RS09915",0
"905","H4W31_RS23455",0
"906","ACIPNH_RS01070",0
"907","ACIPNH_RS03515",0
"908","K7R10_RS15245",0
"909","K7R10_RS05275",0
"910","HCK02_RS13690",0
"911","ACIGG6_RS00980",0
"912","ACIGG6_RS14450",0
"913","ACIGG6_RS18185",0
"914","DFQ45_RS13095",0
"915","Q363_RS31805",0
"916","KZZ10_RS14260",0
"917","KZZ10_RS08270",0
"918","ACGHCT_RS00060",0
"919","ACGHCT_RS08855",0
"920","ACGHCT_RS08910",0
"921","ACGHCT_RS20065",0
"922","I2I01_RS12030",0
"923","AABA21_RS03330",0
"924","AABA21_RS06830",0
"925","AABA21_RS14855",0
"926","AABA21_RS19590",0
"927","AABA21_RS21300",0
